Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Time required to start a business, female (days)",IC.REG.DURS.FE,Afghanistan,AFG,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Albania,ALB,2017,5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Algeria,DZA,2017,18,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Angola,AGO,2017,36,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Antigua and Barbuda,ATG,2017,22,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Argentina,ARG,2017,24.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Armenia,ARM,2017,5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Australia,AUS,2017,2.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Austria,AUT,2017,21,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Azerbaijan,AZE,2017,3.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Bahamas, The",BHS,2017,21.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Bahrain,BHR,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Bangladesh,BGD,2017,19.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Barbados,BRB,2017,16,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Belarus,BLR,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Belgium,BEL,2017,4.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Belize,BLZ,2017,48,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Benin,BEN,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Bhutan,BTN,2017,12,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Bolivia,BOL,2017,41,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Bosnia and Herzegovina,BIH,2017,80,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Botswana,BWA,2017,48,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Brazil,BRA,2017,82.465,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Brunei Darussalam,BRN,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Bulgaria,BGR,2017,23,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Burkina Faso,BFA,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Burundi,BDI,2017,4,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Cabo Verde,CPV,2017,18,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Cambodia,KHM,2017,99,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Cameroon,CMR,2017,17,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Canada,CAN,2017,1.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Central African Republic,CAF,2017,22,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Chad,TCD,2017,60,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Chile,CHL,2017,7.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,China,CHN,2017,24.9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Colombia,COL,2017,11,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Comoros,COM,2017,16,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Congo, Dem. Rep.",COD,2017,7,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Congo, Rep.",COG,2017,50,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Costa Rica,CRI,2017,22.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Cote d'Ivoire,CIV,2017,8,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Croatia,HRV,2017,22.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Cyprus,CYP,2017,6,female
